name	source	genomospecies	contigs	genome size (Mbp)	N50 length (bp)	N90 length (bp)	max	GC content	completeness	contamination	QS	quality level	phylum	class	order	family	genus	species
d1J.bin.91	MAG	Yes	117	2.18	 28,302 	 8,004 	 105,864 	42.41	84.24	0.00	84.24	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Faecalimonas	s__Faecalimonas umbilicata
d1L.bin.12	MAG	Yes	155	2.02	 18,295 	 6,808 	 79,624 	58.84	81.09	1.35	74.34	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_I
d1L.bin.22	MAG	No	36	2.23	 127,798 	 33,468 	 319,062 	43.03	86.25	2.99	71.30	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_D	s__Ruminococcus_D bicirculans
d1L.bin.24	MAG	No	145	4.58	 57,404 	 14,725 	 146,264 	41.84	96.52	0.16	95.72	High-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola vulgatus
d1L.bin.36	MAG	Yes	205	2.35	 16,282 	 5,217 	 62,647 	58.84	84.56	2.20	73.56	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger sp900539695
d1L.bin.37	MAG	Yes	320	1.64	 6,171 	 2,792 	 25,954 	55.44	75.51	0.58	72.61	Medium-quality	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Megasphaeraceae	g__Megasphaera	s__Megasphaera sp000417505
d1L.bin.38	MAG	No	62	2.93	 72,456 	 26,478 	 279,492 	35.90	95.35	1.39	88.40	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira sp000436475
d1L.bin.4	MAG	Yes	77	2.59	 52,379 	 17,666 	 111,474 	44.80	99.65	0.23	98.50	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Hominisplanchenecus	s__Hominisplanchenecus faecis
d1L.bin.44	MAG	No	63	2.20	 54,210 	 16,993 	 366,859 	62.88	90.29	0.44	88.09	High-quality	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_A	g__Sutterella	s__Sutterella wadsworthensis_A
d1L.bin.46	MAG	Yes	53	2.81	 74,161 	 28,512 	 276,835 	59.61	99.24	0.34	97.54	High-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes shahii
d1L.bin.53	MAG	No	91	2.40	 40,768 	 12,973 	 169,733 	49.37	92.14	0.00	92.14	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Clostridium_Q	s__Clostridium_Q fessum
d1L.bin.67	MAG	No	95	1.89	 28,080 	 10,053 	 134,118 	40.90	91.27	0.78	87.37	High-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	s__Ruminococcus_E bromii_B
d1L.bin.69	MAG	Yes	64	2.16	 43,169 	 16,877 	 214,433 	58.61	86.69	1.39	79.74	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_J
d1L.bin.7	MAG	No	468	3.79	 10,514 	 4,039 	 34,188 	45.52	82.23	0.65	78.98	Medium-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides distasonis
d1L.bin.74	MAG	Yes	54	2.54	 84,658 	 27,632 	 211,858 	40.89	99.28	0.68	95.88	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter faecis
d1L.bin.77	MAG	No	266	1.89	 9,548 	 3,419 	 39,899 	57.83	78.84	1.83	69.69	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_D
d1L.bin.79	MAG	Yes	12	1.74	 260,476 	 66,873 	 354,657 	53.47	98.16	0.23	97.01	High-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-217	s__CAG-217 sp000436335
d1M.bin.13	MAG	Yes	104	3.30	 50,404 	 13,513 	 207,821 	64.57	99.01	0.65	95.76	High-quality	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__
d1M.bin.18	MAG	Yes	64	2.29	 60,477 	 20,397 	 158,248 	42.01	86.08	0.64	82.88	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea_A	s__Dorea_A longicatena_B
d1M.bin.28	MAG	Yes	164	2.87	 28,447 	 8,658 	 92,292 	43.74	86.71	1.86	77.41	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A caecimuris
d1M.bin.3	MAG	Yes	90	2.86	 44,750 	 15,853 	 110,114 	45.38	80.70	0.43	78.55	Medium-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp015074785
d1M.bin.31	MAG	Yes	253	2.97	 17,525 	 5,542 	 71,484 	42.10	87.40	4.29	65.95	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Bariatricus	s__Bariatricus comes
d1M.bin.35	MAG	Yes	417	2.89	 8,292 	 3,484 	 48,859 	60.23	88.05	0.17	87.20	Medium-quality	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	s__Bilophila wadsworthia
d1M.bin.37	MAG	Yes	204	2.83	 21,517 	 6,440 	 88,455 	27.02	93.61	1.46	86.31	High-quality	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Romboutsia	s__Romboutsia timonensis
d1M.bin.38	MAG	No	35	2.00	 93,893 	 32,192 	 172,785 	38.91	78.79	0.25	77.54	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	s__Blautia hansenii
d1M.bin.39	MAG	Yes	155	3.52	 32,874 	 11,242 	 104,268 	43.13	93.88	2.66	80.58	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Enterocloster	s__Enterocloster sp900541315
d1M.bin.55	MAG	Yes	423	3.05	 9,729 	 3,361 	 48,716 	30.21	84.96	0.67	81.61	Medium-quality	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A ulcerans
d1M.bin.6	MAG	Yes	350	2.69	 9,972 	 3,757 	 33,771 	26.75	95.92	2.52	83.32	High-quality	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp900540255
d1M.bin.8	MAG	No	44	2.16	 68,317 	 25,228 	 144,605 	41.23	71.32	2.63	58.17	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter faecis
d1N.bin.1	MAG	No	85	2.67	 56,986 	 12,351 	 225,294 	42.29	98.10	2.55	85.35	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyribacter	s__Butyribacter sp003529475
d1N.bin.10	MAG	Yes	306	2.15	 8,535 	 3,620 	 35,109 	47.38	71.71	3.18	55.81	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor intestinalis
d1N.bin.11	MAG	Yes	178	1.40	 9,362 	 4,098 	 39,961 	42.71	85.39	0.29	83.94	Medium-quality	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__URXU01	s__URXU01 sp900541915
d1N.bin.14	MAG	Yes	103	1.85	 25,128 	 8,642 	 75,926 	52.09	76.60	0.00	76.60	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_C	s__Ruminococcus_C callidus
d1N.bin.15	MAG	No	339	2.00	 7,031 	 2,924 	 30,691 	29.44	82.01	3.93	62.36	Medium-quality	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Faecalibacillus	s__Faecalibacillus intestinalis
d1N.bin.17	MAG	No	310	1.51	 5,622 	 2,695 	 22,613 	61.00	72.42	0.23	71.27	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger formicilis
d1N.bin.21	MAG	Yes	36	1.61	 74,220 	 21,412 	 240,530 	26.57	97.07	2.93	82.42	High-quality	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__CAG-269 sp001916005
d1N.bin.22	MAG	Yes	75	1.68	 32,316 	 12,513 	 81,614 	33.50	77.32	0.52	74.72	Medium-quality	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Holdemanella	s__Holdemanella biformis
d1N.bin.30	MAG	Yes	45	1.34	 47,465 	 15,639 	 126,927 	26.94	93.12	0.96	88.32	High-quality	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Scybalousia	s__Scybalousia sp900542735
d1N.bin.32	MAG	Yes	76	2.44	 55,374 	 17,116 	 173,714 	44.76	82.55	0.61	79.50	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyribacter	s__Butyribacter huaianensis
d1N.bin.33	MAG	No	184	1.88	 15,362 	 4,377 	 69,170 	27.45	75.61	0.99	70.66	Medium-quality	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Romboutsia	s__Romboutsia timonensis
d1N.bin.35	MAG	Yes	76	3.43	 68,464 	 23,381 	 227,095 	44.07	92.17	0.16	91.37	High-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A
d1N.bin.37	MAG	No	59	2.32	 58,997 	 19,626 	 163,339 	44.85	80.76	4.02	60.66	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Hominisplanchenecus	s__Hominisplanchenecus faecis
d1N.bin.4	MAG	Yes	200	2.46	 21,312 	 5,337 	 81,052 	38.56	84.63	4.23	63.48	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	s__Blautia stercoris
d1N.bin.48	MAG	No	103	2.01	 36,499 	 9,060 	 117,675 	41.57	73.80	3.42	56.70	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter faecis
d1N.bin.50	MAG	Yes	15	1.43	 133,328 	 63,278 	 240,296 	45.58	74.03	0.00	74.03	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Fimenecus	s__Fimenecus sp000432435
d1N.bin.54	MAG	Yes	8	1.29	 252,472 	 88,673 	 519,422 	37.16	70.31	0.01	70.26	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__Eubacterium_R sp000434995
d1N.bin.58	MAG	No	85	3.51	 73,523 	 20,036 	 154,600 	41.79	97.40	3.92	77.80	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__Roseburia sp003470905
d1N.bin.60	MAG	Yes	39	2.49	 118,646 	 40,525 	 280,245 	41.38	93.38	1.63	85.23	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus	s__Coprococcus sp900066115
d1N.bin.62	MAG	Yes	97	2.77	 43,583 	 17,109 	 99,876 	43.05	97.52	1.31	90.97	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus	s__Coprococcus eutactus
d1N.bin.64	MAG	Yes	40	2.47	 90,001 	 33,442 	 219,719 	44.62	89.87	2.25	78.62	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Wujia	s__Wujia chipingensis
d1N.bin.68	MAG	Yes	76	1.89	 37,459 	 11,466 	 136,120 	55.11	89.76	0.32	88.16	Medium-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes putredinis
d1N.bin.80	MAG	No	56	2.17	 61,761 	 23,108 	 181,901 	63.12	76.18	0.28	74.78	Medium-quality	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Adlercreutzia	s__Adlercreutzia equolifaciens
d1O.bin.11	MAG	Yes	101	3.57	 59,447 	 17,354 	 144,698 	41.76	100.00	2.60	87.00	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__Roseburia sp003470905
d1O.bin.15	MAG	No	106	3.02	 58,668 	 14,274 	 145,412 	47.19	89.00	1.63	80.85	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor sp900066565
d1O.bin.16	MAG	Yes	243	2.49	 15,203 	 4,520 	 67,546 	63.38	91.41	2.05	81.16	High-quality	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Adlercreutzia	s__Adlercreutzia equolifaciens
d1O.bin.18	MAG	Yes	42	2.56	 82,602 	 31,039 	 429,819 	37.61	91.30	1.56	83.50	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira eligens_A
d1O.bin.20	MAG	Yes	141	2.29	 24,197 	 7,823 	 88,216 	41.34	86.59	1.45	79.34	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__RUG115	s__RUG115 sp900066395
d1O.bin.21	MAG	Yes	67	2.73	 70,590 	 25,305 	 171,972 	40.55	99.98	0.04	99.78	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_F	s__Eubacterium_F sp003491505
d1O.bin.25	MAG	No	308	2.00	 8,496 	 3,339 	 35,606 	49.96	81.69	0.07	81.34	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Clostridium_Q	s__Clostridium_Q fessum
d1O.bin.3	MAG	No	68	4.29	 89,699 	 32,388 	 260,179 	44.82	85.90	1.31	79.35	Medium-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides distasonis
d1O.bin.36	MAG	No	312	2.21	 9,479 	 3,295 	 37,957 	37.89	85.75	3.34	69.05	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerostipes	s__Anaerostipes hadrus
d1O.bin.37	MAG	Yes	255	1.64	 7,618 	 3,352 	 25,999 	40.15	82.84	3.32	66.24	Medium-quality	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus salivarius
d1O.bin.38	MAG	No	247	2.99	 17,730 	 5,944 	 96,225 	44.92	85.10	3.09	69.65	Medium-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A
d1O.bin.43	MAG	No	26	1.89	 176,538 	 27,235 	 241,850 	54.80	85.63	0.07	85.28	Medium-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes putredinis
d1O.bin.44	MAG	No	54	2.86	 73,174 	 27,727 	 160,323 	45.52	83.19	1.32	76.59	Medium-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp015074785
d1O.bin.46	MAG	Yes	31	2.66	 119,693 	 34,298 	 308,081 	41.67	90.06	0.19	89.11	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis
d1O.bin.49	MAG	Yes	105	3.72	 78,369 	 16,285 	 350,241 	42.23	92.49	2.33	80.84	High-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola massiliensis
d1O.bin.50	MAG	Yes	207	2.24	 13,999 	 4,954 	 66,074 	60.94	84.66	1.39	77.71	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger formicilis
d1O.bin.56	MAG	No	104	3.10	 58,356 	 14,085 	 150,110 	40.48	83.14	2.82	69.04	Medium-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola
d1O.bin.59	MAG	Yes	191	2.48	 18,996 	 6,035 	 85,773 	55.30	91.30	1.70	82.80	High-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes_A	s__Alistipes_A indistinctus
d1O.bin.60	MAG	Yes	29	2.01	 104,103 	 33,521 	 351,418 	43.43	96.77	0.17	95.92	High-quality	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Phascolarctobacterium faecium
d1O.bin.61	MAG	Yes	17	2.10	 166,181 	 63,758 	 300,421 	50.37	78.40	0.23	77.25	Medium-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes_A	s__Alistipes_A pullicola
d1O.bin.68	MAG	Yes	64	2.06	 51,618 	 17,483 	 181,863 	58.68	83.02	2.69	69.57	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__ER4	s__ER4 sp000765235
d1O.bin.7	MAG	No	131	2.09	 24,698 	 7,441 	 91,643 	60.22	92.89	0.92	88.29	High-quality	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium longum
d1O.bin.71	MAG	Yes	57	1.73	 38,126 	 17,950 	 153,586 	61.80	90.62	2.28	79.22	High-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Vescimonas	s__Vescimonas sp001916855
d1O.bin.73	MAG	Yes	281	1.75	 7,503 	 3,344 	 25,783 	34.58	73.19	2.15	62.44	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_G	s__Eubacterium_G ventriosum
d1O.bin.78	MAG	No	178	2.13	 15,591 	 5,800 	 76,273 	58.55	79.01	4.35	57.26	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii
d1O.bin.8	MAG	Yes	20	1.53	 113,766 	 46,489 	 205,646 	38.07	74.56	0.14	73.86	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__Eubacterium_R sp000436835
d1O.bin.81	MAG	No	176	2.81	 24,172 	 7,410 	 69,496 	42.00	80.50	2.04	70.30	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__Roseburia inulinivorans
d1O.bin.87	MAG	No	174	3.98	 38,393 	 10,852 	 124,856 	59.96	99.22	3.18	83.32	High-quality	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	s__Bilophila wadsworthia
d1O.bin.88	MAG	No	27	1.56	 82,754 	 28,805 	 194,493 	49.84	74.87	0.28	73.47	Medium-quality	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_A	g__Parasutterella	s__Parasutterella excrementihominis
d21A.bin.5	MAG	No	484	2.14	 4,843 	 2,542 	 14,733 	54.34	77.00	2.46	64.70	Medium-quality	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium glutamicum
d21B.bin.11	MAG	No	322	2.55	 11,037 	 3,812 	 38,843 	64.78	90.47	1.37	83.62	High-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Flavonifractor	s__Flavonifractor avistercoris
d21B.bin.12	MAG	Yes	192	2.54	 20,492 	 6,266 	 92,977 	49.76	97.38	0.38	95.48	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Ruminococcus_G	s__Ruminococcus_G avistercoris
d21B.bin.20	MAG	No	328	1.25	 3,866 	 2,310 	 15,384 	31.33	78.64	4.23	57.49	Medium-quality	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Coprosoma	s__Coprosoma intestinipullorum
d21B.bin.4	MAG	No	94	1.34	 19,068 	 6,934 	 139,637 	38.45	71.56	0.22	70.46	Medium-quality	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus reuteri_E
d21B.bin.8	MAG	Yes	235	2.20	 13,419 	 4,364 	 73,114 	58.05	72.05	1.47	64.70	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger formicilis_B
d21E.bin.16	MAG	Yes	80	1.79	 35,761 	 11,736 	 94,563 	26.55	97.57	2.39	85.62	High-quality	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__CAG-269 sp944387565
d21E.bin.22	MAG	Yes	53	2.94	 110,508 	 28,046 	 226,570 	56.67	99.64	1.49	92.19	High-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Agathobaculum	s__Agathobaculum pullistercoris
d21E.bin.23	MAG	Yes	261	3.60	 25,775 	 6,134 	 99,437 	38.47	96.77	2.59	83.82	High-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Coprobacteraceae	g__Coprobacter	s__Coprobacter fastidiosus
d21E.bin.33	MAG	Yes	15	1.70	 169,089 	 65,064 	 279,202 	54.29	91.48	0.01	91.43	High-quality	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA3700	g__Ornithoclostridium	s__Ornithoclostridium excrementipullorum
d21E.bin.35	MAG	No	398	1.85	 5,287 	 2,528 	 28,259 	54.83	79.99	1.57	72.14	Medium-quality	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium stationis
d21E.bin.37	MAG	No	176	1.39	 10,311 	 3,608 	 49,447 	58.10	78.62	2.53	65.97	Medium-quality	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-917	g__Limadaptatus	s__Limadaptatus stercoravium
d21E.bin.45	MAG	Yes	77	2.24	 44,804 	 15,322 	 112,427 	47.07	89.37	2.37	77.52	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter pullicola
d21E.bin.51	MAG	Yes	132	1.42	 16,961 	 4,835 	 96,640 	39.67	90.51	0.63	87.36	High-quality	p__Bacillota	c__Bacilli	o__Acholeplasmatales	f__Anaeroplasmataceae	g__Pelethenecus	s__Pelethenecus faecipullorum
d21E.bin.57	MAG	No	153	2.85	 27,597 	 9,235 	 83,877 	55.24	91.44	1.89	81.99	High-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Anaerotruncus	s__Anaerotruncus colihominis
d21E.bin.58	MAG	Yes	139	1.86	 18,378 	 6,491 	 58,780 	39.15	89.10	2.37	77.25	Medium-quality	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__RUG14156	g__Galligastranaerophilus	s__Galligastranaerophilus faecipullorum
d21E.bin.6	MAG	No	161	2.34	 22,557 	 7,369 	 55,195 	63.58	87.10	1.01	82.05	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium gallistercoris
d21E.bin.60	MAG	Yes	418	2.58	 8,401 	 2,988 	 37,264 	59.45	86.31	2.69	72.86	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Flavonifractor	s__Flavonifractor sp944385615
d21E.bin.66	MAG	No	977	5.21	 6,497 	 2,717 	 46,500 	42.95	82.24	3.78	63.34	Medium-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis
d21E.bin.74	MAG	Yes	26	0.93	 51,764 	 17,447 	 130,009 	36.79	97.70	0.25	96.45	High-quality	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA1242	g__UMGS687	s__UMGS687 sp944380415
d21E.bin.75	MAG	No	108	2.32	 33,420 	 9,745 	 117,006 	53.58	82.45	0.28	81.05	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__HGM12545	s__HGM12545 sp900761925
d21E.bin.77	MAG	Yes	27	2.24	 136,591 	 66,711 	 203,872 	56.31	99.94	0.00	99.94	High-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Tidjanibacter	s__Tidjanibacter inops
d21F.bin.13	MAG	Yes	40	1.94	 86,443 	 25,934 	 161,202 	35.03	92.68	0.00	92.68	High-quality	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__Stercorousia	s__Stercorousia sp944324305
d21F.bin.21	MAG	No	232	1.50	 8,005 	 3,263 	 25,064 	51.83	86.52	0.91	81.97	Medium-quality	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA3700	g__Alloclostridium	s__Alloclostridium intestinigallinarum
d21F.bin.23	MAG	No	268	2.03	 10,321 	 3,472 	 57,896 	54.92	80.50	0.28	79.10	Medium-quality	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium stationis
d21F.bin.3	MAG	Yes	79	2.51	 57,725 	 15,180 	 129,596 	61.95	89.03	2.30	77.53	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter sp900545895
d21F.bin.31	MAG	Yes	69	1.60	 53,366 	 9,987 	 160,991 	29.16	93.95	1.42	86.85	High-quality	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Faecimonas	s__Faecimonas intestinavium
d21F.bin.35	MAG	Yes	223	1.95	 11,294 	 4,296 	 62,372 	60.13	85.19	3.07	69.84	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Enterenecus	s__Enterenecus avicola
