d21J_41163_13	d21J_41163_13	67_rep13_5_rep(pMC524/MBM)_AJ312056.2
d14B_69383_1	d5L_26313_3	58_rep11_1_repA(pB82)_AB178871
d14B_69383_1	d5O_7494_4	58_rep11_1_repA(pB82)_AB178871
d14B_69383_1	d7B_26531_3	58_rep11_1_repA(pB82)_AB178871
d14B_69383_1	d7E_8584_4	58_rep11_1_repA(pB82)_AB178871
d14B_69383_1	d7J_15806_1	58_rep11_1_repA(pB82)_AB178871
d14B_69383_1	d7K_27970_1	58_rep11_1_repA(pB82)_AB178871
d14B_69383_1	d7M_12011_1	58_rep11_1_repA(pB82)_AB178871
d14B_69383_1	d7N_22578_1	58_rep11_1_repA(pB82)_AB178871
d14B_69383_1	d7O_36069_1	58_rep11_1_repA(pB82)_AB178871
d14D_14766_1	d14D_14766_1	638_tnpA_DQ361537.1
d14D_14766_1	d35A_50433_5	638_tnpA_DQ361537.1
d14G_3063_1	d14G_3063_1	278_tnpA_AB304081.1
d14G_3063_1	d14A_7363_1	278_tnpA_AB304081.1
d14G_3063_1	d14B_2457_1	278_tnpA_AB304081.1
d14G_3063_1	d14D_841_1	278_tnpA_AB304081.1
d14G_3063_1	d14I_95248_1	278_tnpA_AB304081.1
d14G_3063_1	d14J_77862_2	278_tnpA_AB304081.1
d14G_3063_1	d14K_22564_2	278_tnpA_AB304081.1
d14G_3063_1	d14L_16306_8	278_tnpA_AB304081.1
d14G_3063_1	d14N_31979_1	278_tnpA_AB304081.1
d14G_3063_1	d14O_11223_1	278_tnpA_AB304081.1
d14G_3063_1	d3C_406_3	278_tnpA_AB304081.1
d14G_3063_1	d1F_72286_1	278_tnpA_AB304081.1
d14G_3063_1	d1G_46501_2	278_tnpA_AB304081.1
d14G_3063_1	d1I_54713_4	278_tnpA_AB304081.1
d14G_3063_1	d1J_18838_2	278_tnpA_AB304081.1
d14G_3063_1	d1N_34584_2	278_tnpA_AB304081.1
d14G_3063_1	d21A_45807_1	278_tnpA_AB304081.1
d14G_3063_1	d21B_15736_2	278_tnpA_AB304081.1
d14G_3063_1	d21C_3328_1	278_tnpA_AB304081.1
d14G_3063_1	d21E_166854_2	278_tnpA_AB304081.1
d14G_3063_1	d21F_57176_1	278_tnpA_AB304081.1
d14G_3063_1	d21G_4574_1	278_tnpA_AB304081.1
d14G_3063_1	d21J_75466_4	278_tnpA_AB304081.1
d14G_3063_1	d21K_107049_3	278_tnpA_AB304081.1
d14G_3063_1	d21L_21156_12	278_tnpA_AB304081.1
d14G_3063_1	d21M_42588_2	278_tnpA_AB304081.1
d14G_3063_1	d21O_81004_2	278_tnpA_AB304081.1
d14G_3063_1	d28A_222339_1	278_tnpA_AB304081.1
d14G_3063_1	d28C_12122_1	278_tnpA_AB304081.1
d14G_3063_1	d28D_17592_1	278_tnpA_AB304081.1
d14G_3063_1	d28E_6353_4	278_tnpA_AB304081.1
d14G_3063_1	d28F_23840_1	278_tnpA_AB304081.1
d14G_3063_1	d28J_68181_3	278_tnpA_AB304081.1
d14G_3063_1	d28K_25133_2	278_tnpA_AB304081.1
d14G_3063_1	d28L_837_1	278_tnpA_AB304081.1
d14G_3063_1	d28M_9763_2	278_tnpA_AB304081.1
d14G_3063_1	d28N_8648_6	278_tnpA_AB304081.1
d14G_3063_1	d28O_11622_7	278_tnpA_AB304081.1
d14G_3063_1	d35A_26237_1	278_tnpA_AB304081.1
d14G_3063_1	d35B_10830_1	278_tnpA_AB304081.1
d14G_3063_1	d35D_9377_1	278_tnpA_AB304081.1
d14G_3063_1	d35J_78559_1	278_tnpA_AB304081.1
d14G_3063_1	d35L_146579_2	278_tnpA_AB304081.1
d14G_3063_1	d35O_32352_1	278_tnpA_AB304081.1
d14G_3063_1	d3A_18284_2	278_tnpA_AB304081.1
d14G_3063_1	d3B_15875_6	278_tnpA_AB304081.1
d14G_3063_1	d3E_14278_3	278_tnpA_AB304081.1
d14G_3063_1	d3F_26504_1	278_tnpA_AB304081.1
d14G_3063_1	d3G_33529_1	278_tnpA_AB304081.1
d14G_3063_1	d3J_12396_1	278_tnpA_AB304081.1
d14G_3063_1	d3L_1656_1	278_tnpA_AB304081.1
d14G_3063_1	d3N_7018_1	278_tnpA_AB304081.1
d14G_3063_1	d3O_13315_1	278_tnpA_AB304081.1
d14G_3063_1	d42B_110965_1	278_tnpA_AB304081.1
d14G_3063_1	d42C_34442_1	278_tnpA_AB304081.1
d14G_3063_1	d42D_207117_2	278_tnpA_AB304081.1
d14G_3063_1	d42E_122181_3	278_tnpA_AB304081.1
d14G_3063_1	d42I_101851_3	278_tnpA_AB304081.1
d14G_3063_1	d42J_12963_4	278_tnpA_AB304081.1
d14G_3063_1	d42M_52015_2	278_tnpA_AB304081.1
d14G_3063_1	d5B_8703_1	278_tnpA_AB304081.1
d14G_3063_1	d5E_11445_10	278_tnpA_AB304081.1
d14G_3063_1	d5H_8575_1	278_tnpA_AB304081.1
d14G_3063_1	d5I_10853_6	278_tnpA_AB304081.1
d14G_3063_1	d5J_6343_1	278_tnpA_AB304081.1
d14G_3063_1	d5K_3554_1	278_tnpA_AB304081.1
d14G_3063_1	d5M_5809_1	278_tnpA_AB304081.1
d14G_3063_1	d7A_7065_1	278_tnpA_AB304081.1
d14G_3063_1	d7B_17860_2	278_tnpA_AB304081.1
d14G_3063_1	d7E_5074_1	278_tnpA_AB304081.1
d14G_3063_1	d7F_7211_2	278_tnpA_AB304081.1
d14G_3063_1	d7H_68001_1	278_tnpA_AB304081.1
d14G_3063_1	d7I_17625_3	278_tnpA_AB304081.1
d14G_3063_1	d7J_86576_2	278_tnpA_AB304081.1
d14G_3063_1	d7K_12389_11	278_tnpA_AB304081.1
d14G_3063_1	d7M_41119_1	278_tnpA_AB304081.1
d14G_3063_1	d7N_4324_1	278_tnpA_AB304081.1
d14G_3063_1	HC11_12_7	278_tnpA_AB304081.1
d14G_3063_1	HC11_12_14	278_tnpA_AB304081.1
d14G_3063_1	HC160_106_4	278_tnpA_AB304081.1
d14G_3063_1	HC47_47_2	278_tnpA_AB304081.1
d14G_3063_1	HC966_91_1	278_tnpA_AB304081.1
d14I_6879_1	d14I_6879_1	1213_IS91_CP005930.1
d14I_60759_1	d14I_60759_1	2392_tnpA13_HG916826.1
d21A_41174_2	d21A_41174_2	978_tnpA_AF141323.1
d14D_21672_2	d14D_21672_2	2024_tnpA1_BX248356.1
d21F_112695_2	d21F_112695_2	2364_tnpA_CP000864.1
d21F_112695_2	d21J_201551_49	2364_tnpA_CP000864.1
d21F_112695_2	d3O_903_2	2364_tnpA_CP000864.1
d14N_17830_1	d14N_17830_1	15_rep4_3_ORF(pMBB1)_EFU26268
d14N_17830_1	d14B_53059_3	15_rep4_3_ORF(pMBB1)_EFU26268
d14N_17830_1	d14I_1609_1	15_rep4_3_ORF(pMBB1)_EFU26268
d14N_17830_1	d14K_25800_1	15_rep4_3_ORF(pMBB1)_EFU26268
d14N_17830_1	d14O_17457_1	15_rep4_3_ORF(pMBB1)_EFU26268
d14N_17830_1	d21A_11615_1	15_rep4_3_ORF(pMBB1)_EFU26268
d14N_17830_1	d21J_62183_5	15_rep4_3_ORF(pMBB1)_EFU26268
d14N_17830_1	d21M_20465_1	15_rep4_3_ORF(pMBB1)_EFU26268
d14N_17830_1	d28C_100464_1	15_rep4_3_ORF(pMBB1)_EFU26268
d14N_17830_1	d28K_3475_2	15_rep4_3_ORF(pMBB1)_EFU26268
d14N_17830_1	d35A_11479_2	15_rep4_3_ORF(pMBB1)_EFU26268
d14N_17830_1	d3A_34279_3	15_rep4_3_ORF(pMBB1)_EFU26268
d14N_17830_1	d3A_28011_1	15_rep4_3_ORF(pMBB1)_EFU26268
d14N_17830_1	d3F_38860_1	15_rep4_3_ORF(pMBB1)_EFU26268
d14N_17830_1	d3N_125_5	15_rep4_3_ORF(pMBB1)_EFU26268
d14N_17830_1	d7E_38060_9	15_rep4_3_ORF(pMBB1)_EFU26268
d14N_17830_1	d7L_86095_1	15_rep4_3_ORF(pMBB1)_EFU26268
d1M_24358_23	d1M_24358_23	2509_tnpA_GU371926.1
d1M_24358_25	d1M_24358_25	679_tnpA1_AF550679.1
d1M_24358_25	d42D_4776_3	679_tnpA1_AF550679.1
d1M_24358_25	d42L_38892_2	679_tnpA1_AF550679.1
d1M_24358_26	d1M_24358_26	2301_IS91_CYDC01000057.1
d28E_145796_2	d28E_145796_2	771_tnpA_ISKpn24_KR822247.1
d28E_145796_6	d28E_145796_6	2486_IS91_FKHA01000014.1
d35A_75602_3	d35A_75602_3	2194_tnpA_LC015492.1
d35A_75602_3	d21J_110839_1	2194_tnpA_LC015492.1
d35A_75602_3	d7B_87977_1	2194_tnpA_LC015492.1
d3N_20679_2	d3N_20679_2	1780_tnpA_EF682209.1
d14N_35117_1	d14N_35117_1	1657_tnpA_EF059914.1
d14B_103479_1	d14B_103479_1	412_tnpA_FN806773.1
d35A_50878_3	d35A_50878_3	1535_Tn916-orf20_KC414929
d35A_50878_3	d3E_1140_3	1535_Tn916-orf20_KC414929
d35A_50878_3	d5L_26320_6	1535_Tn916-orf20_KC414929
HC50_5_123	HC50_5_123	2411_tnpA_EF222275.1
HC50_5_123	HC67_5_23	2411_tnpA_EF222275.1
HC50_5_123	HC50_1_497	2411_tnpA_EF222275.1
HC50_5_123	HC67_1_1560	2411_tnpA_EF222275.1
HC50_5_131	HC50_5_131	2411_tnpA_EF222275.1
HC50_5_131	HC67_5_15	2411_tnpA_EF222275.1
d3C_2959_14	d3C_2959_14	2051_tnpA_KU167609.1
d3C_2959_14	d1M_515_5	2051_tnpA_KU167609.1
d3C_2959_14	d21E_196735_1	2051_tnpA_KU167609.1
d3C_2959_14	d35K_66285_1	2051_tnpA_KU167609.1
d3C_2959_14	d3J_13587_1	2051_tnpA_KU167609.1
d3C_2959_14	d3N_17120_2	2051_tnpA_KU167609.1
d3C_2959_14	d21A_15469_10	2051_tnpA_KU167609.1
d3C_2959_14	d3A_15173_1	2051_tnpA_KU167609.1
d1M_30353_17	d1M_30353_17	2451_tnpA_JN106169.1
d1M_30353_17	d1N_7350_1	2451_tnpA_JN106169.1
d1M_30353_17	d3I_6177_2	2451_tnpA_JN106169.1
d1M_30353_17	d5E_14868_1	2451_tnpA_JN106169.1
d1M_30353_17	d5O_761_2	2451_tnpA_JN106169.1
d1M_30353_17	d7A_5060_4	2451_tnpA_JN106169.1
d1M_30353_17	d7J_25350_4	2451_tnpA_JN106169.1
d1M_30353_20	d1M_30353_20	1091_tnpA_AY327575.2
d1M_30353_20	d3I_10502_3	1091_tnpA_AY327575.2
d1M_30353_20	d5E_2440_1	1091_tnpA_AY327575.2
d1M_30353_20	d5G_33738_3	1091_tnpA_AY327575.2
d1M_30353_20	d5L_12489_4	1091_tnpA_AY327575.2
d1M_30353_20	d5O_13120_3	1091_tnpA_AY327575.2
d1M_30353_20	d7A_5060_7	1091_tnpA_AY327575.2
d14B_38763_1	d14B_38763_1	2364_tnpA_CP000864.1
d14B_38763_1	d21A_4636_2	2364_tnpA_CP000864.1
d14B_38763_1	d21F_58607_2	2364_tnpA_CP000864.1
d14B_38763_1	d21J_38357_16	2364_tnpA_CP000864.1
d14B_38763_1	d21J_54931_4	2364_tnpA_CP000864.1
d14B_38763_1	d21J_79597_6	2364_tnpA_CP000864.1
d14B_38763_1	d21J_102805_2	2364_tnpA_CP000864.1
d14B_38763_1	d35O_112832_2	2364_tnpA_CP000864.1
d14B_38763_1	d5L_11031_1	2364_tnpA_CP000864.1
d14B_38763_1	d5L_20093_2	2364_tnpA_CP000864.1
d14B_38763_1	d7H_3914_1	2364_tnpA_CP000864.1
d14I_8643_2	d14I_8643_2	2024_tnpA1_BX248356.1
d14I_8643_2	d14B_103096_1	2024_tnpA1_BX248356.1
d14I_8643_2	d14K_23076_4	2024_tnpA1_BX248356.1
d14I_8643_2	d14N_6249_4	2024_tnpA1_BX248356.1
d14I_8643_2	d14O_45577_1	2024_tnpA1_BX248356.1
d14I_8643_2	d21A_16567_4	2024_tnpA1_BX248356.1
d14I_8643_2	d21F_73514_1	2024_tnpA1_BX248356.1
d14I_8643_2	d21J_155920_2	2024_tnpA1_BX248356.1
d14I_8643_2	d21N_3615_1	2024_tnpA1_BX248356.1
d14I_8643_2	d35A_38127_3	2024_tnpA1_BX248356.1
d14I_8643_2	d42J_38749_1	2024_tnpA1_BX248356.1
d14I_8643_2	d7B_47578_2	2024_tnpA1_BX248356.1
d14I_8643_2	d7E_53407_3	2024_tnpA1_BX248356.1
d14I_30035_2	d14I_30035_2	1910_IS91_CP000680.1
d14N_12794_1	d14N_12794_1	625_IS91_CP001383.1
d14N_12794_1	d1I_23715_2	625_IS91_CP001383.1
d14O_13476_1	d14O_13476_1	794_tnpA_JQ764731.1
d14O_13476_1	d14O_13476_2	794_tnpA_JQ764731.1
d28C_7437_1	d28C_7437_1	1771_tnpA_KR066794.1
d35O_75822_2	d35O_75822_2	712_tnpA_EU850412.1
d35O_75822_2	d3O_29438_1	712_tnpA_EU850412.1
d35O_75822_2	d3O_29438_2	712_tnpA_EU850412.1
d3A_32017_9	d3A_32017_9	117_rep22_1_repB(pUB110)_X03408.1
d3A_32017_9	d3F_17462_7	117_rep22_1_repB(pUB110)_X03408.1
d3A_32017_9	d3J_24328_9	117_rep22_1_repB(pUB110)_X03408.1
d3A_32017_9	d3L_32451_1	117_rep22_1_repB(pUB110)_X03408.1
d3A_32017_9	d3N_8225_3	117_rep22_1_repB(pUB110)_X03408.1
d3A_32017_9	d7B_82639_1	117_rep22_1_repB(pUB110)_X03408.1
d14B_27527_1	d14B_27527_1	850_tnpA_HQ219726.1
d14B_27527_1	d14C_6702_2	850_tnpA_HQ219726.1
d14B_27527_1	d14D_26033_2	850_tnpA_HQ219726.1
d14B_27527_1	d14I_3798_7	850_tnpA_HQ219726.1
d14B_27527_1	d14K_32187_2	850_tnpA_HQ219726.1
d14B_27527_1	d14M_40571_7	850_tnpA_HQ219726.1
d14B_27527_1	d14N_57504_2	850_tnpA_HQ219726.1
d14B_27527_1	d21A_51287_2	850_tnpA_HQ219726.1
d14B_27527_1	d21C_8667_2	850_tnpA_HQ219726.1
d14B_27527_1	d21E_105376_2	850_tnpA_HQ219726.1
d14B_27527_1	d21F_125466_2	850_tnpA_HQ219726.1
d14B_27527_1	d21J_60046_2	850_tnpA_HQ219726.1
d14B_27527_1	d21K_32741_1	850_tnpA_HQ219726.1
d14B_27527_1	d21M_11675_2	850_tnpA_HQ219726.1
d14B_27527_1	d21N_19524_1	850_tnpA_HQ219726.1
d14B_27527_1	d21O_72836_1	850_tnpA_HQ219726.1
d14B_27527_1	d28C_173524_2	850_tnpA_HQ219726.1
d14B_27527_1	d28D_25606_1	850_tnpA_HQ219726.1
d14B_27527_1	d28L_11229_1	850_tnpA_HQ219726.1
d14B_27527_1	d35A_77769_1	850_tnpA_HQ219726.1
d14B_27527_1	d35J_131455_2	850_tnpA_HQ219726.1
d14B_27527_1	d35O_118356_1	850_tnpA_HQ219726.1
d14B_27527_1	d3A_26109_4	850_tnpA_HQ219726.1
d14B_27527_1	d3B_1553_4	850_tnpA_HQ219726.1
d14B_27527_1	d3D_17098_4	850_tnpA_HQ219726.1
d14B_27527_1	d3E_12878_2	850_tnpA_HQ219726.1
d14B_27527_1	d3F_58905_3	850_tnpA_HQ219726.1
d14B_27527_1	d3G_10071_4	850_tnpA_HQ219726.1
d14B_27527_1	d3I_17686_24	850_tnpA_HQ219726.1
d14B_27527_1	d3J_33083_24	850_tnpA_HQ219726.1
d14B_27527_1	d3L_32879_3	850_tnpA_HQ219726.1
d14B_27527_1	d3N_1740_14	850_tnpA_HQ219726.1
d14B_27527_1	d5B_10794_58	850_tnpA_HQ219726.1
d14B_27527_1	d5L_11812_2	850_tnpA_HQ219726.1
d14B_27527_1	d5O_3090_58	850_tnpA_HQ219726.1
d14B_27527_1	d7B_56502_2	850_tnpA_HQ219726.1
d14B_27527_1	d7E_31219_1	850_tnpA_HQ219726.1
d14B_27527_1	d7H_67475_4	850_tnpA_HQ219726.1
d14B_27527_1	d7K_40818_1	850_tnpA_HQ219726.1
d14B_27527_1	d7L_10035_2	850_tnpA_HQ219726.1
d14B_27527_1	d7M_26944_2	850_tnpA_HQ219726.1
d14B_27527_1	d7O_21099_2	850_tnpA_HQ219726.1
d35O_11347_2	d35O_11347_2	505_tnpA4_AF550679.1
d35O_144535_2	d35O_144535_2	769_tnpA_KX029332.1
d35O_180499_9	d35O_180499_9	2455_tnpA_AY509004.1
d28M_1783_1	d28M_1783_1	816_tnpA3_HE577112.1
d28M_1783_1	d5M_8035_1	816_tnpA3_HE577112.1
d21A_57056_1	d21A_57056_1	2392_tnpA13_HG916826.1
d7E_41989_1	d7E_41989_1	1874_tnpA_JX843238.1
d7B_16967_3	d7B_16967_3	1052_tnpA3_CP002367.1
d7B_16967_3	d7B_108076_3	1052_tnpA3_CP002367.1
d3I_21081_2	d3I_21081_2	1360_tnpA_LXLL01000017.1
d3J_27374_2	d3J_27374_2	1475_tnpA_KR066794.1
d21J_86309_1	d21J_86309_1	412_tnpA_FN806773.1
d21J_210607_2	d21J_210607_2	965_tnpA_JQ364968.1
d21J_210607_2	d35O_158801_3	965_tnpA_JQ364968.1
d21J_210607_2	d7B_62871_2	965_tnpA_JQ364968.1
d21J_210607_3	d21J_210607_3	854_IS91_LN997846.1
d21J_210607_3	d21J_72808_7	854_IS91_LN997846.1
d21J_210607_3	d35O_158801_2	854_IS91_LN997846.1
d21J_210607_3	d7B_7698_2	854_IS91_LN997846.1
d21J_210652_2	d21J_210652_2	1620_tnpA_JN968483.3
d3E_21658_1	d3E_21658_1	69_rep14_2_ORF(pKQ10)_EFU01917
d21J_155044_1	d21J_155044_1	139_repUS17__rep(pKKS825)_FN377602.2
d21J_155044_1	d3G_33453_6	139_repUS17__rep(pKKS825)_FN377602.2
d3J_27216_1	d3J_27216_1	2473_tnpA_KM083808.1
d7F_18045_14	d7F_18045_14	2223_tnpA_CR942285.1
d7F_18045_14	d14M_9310_1	2223_tnpA_CR942285.1
d7F_18045_14	d28D_31463_1	2223_tnpA_CR942285.1
d7F_18045_14	d28J_20630_3	2223_tnpA_CR942285.1
d7F_18045_14	d28M_14146_1	2223_tnpA_CR942285.1
d7F_18045_14	d3A_18897_1	2223_tnpA_CR942285.1
d7F_18045_14	d3E_43652_1	2223_tnpA_CR942285.1
d7F_18045_14	d3L_4147_2	2223_tnpA_CR942285.1
d7F_18045_14	d42L_33687_2	2223_tnpA_CR942285.1
d7F_18045_14	d5G_26127_2	2223_tnpA_CR942285.1
d7F_18045_14	d5J_6834_1	2223_tnpA_CR942285.1
d7F_18045_14	d5M_11215_2	2223_tnpA_CR942285.1
d7F_18045_14	d7H_18241_1	2223_tnpA_CR942285.1
d7F_18045_14	d7J_27212_1	2223_tnpA_CR942285.1
d7F_18045_14	d7K_34460_3	2223_tnpA_CR942285.1
d7F_18045_14	d7M_1137_2	2223_tnpA_CR942285.1
d28L_16215_1	d28L_16215_1	391_tnpAcp2_KJ817377.1
d3J_13283_1	d3J_13283_1	1917_tnpA_AB262965.1
d35J_68346_1	d35J_68346_1	876_tnpA_JFWY01000082.1
d35J_68346_1	d35E_86692_7	876_tnpA_JFWY01000082.1
d3A_11746_14	d3A_11746_14	2634_Tn916-orf16_KC414929
d3A_11746_14	d35A_63528_2	2634_Tn916-orf16_KC414929
d3A_11746_14	d35A_63528_3	2634_Tn916-orf16_KC414929
d3A_11746_14	d5L_26320_2	2634_Tn916-orf16_KC414929
d3A_11746_14	d7B_5871_1	2634_Tn916-orf16_KC414929
d7B_49130_2	d7B_49130_2	426_IS91_CP001921.1
d7B_49130_2	d14B_14292_1	426_IS91_CP001921.1
d7B_49130_2	d14I_51812_1	426_IS91_CP001921.1
d7B_49130_2	d14O_30098_1	426_IS91_CP001921.1
d7B_49130_2	d1I_4238_1	426_IS91_CP001921.1
d7B_49130_2	d21E_60327_2	426_IS91_CP001921.1
d7B_49130_2	d21F_99874_2	426_IS91_CP001921.1
d7B_49130_2	d21J_202906_2	426_IS91_CP001921.1
d7B_49130_2	d21J_6308_1	426_IS91_CP001921.1
d7B_49130_2	d35O_132038_7	426_IS91_CP001921.1
d7B_49130_2	d35O_158801_5	426_IS91_CP001921.1
d7B_49130_2	d3O_9199_2	426_IS91_CP001921.1
d7B_49130_2	d3O_24460_2	426_IS91_CP001921.1
d7B_49130_2	d5I_9987_1	426_IS91_CP001921.1
d7B_49130_2	d5J_9194_1	426_IS91_CP001921.1
d7B_49130_2	d5L_20266_1	426_IS91_CP001921.1
d14L_20275_4	d14L_20275_4	1037_tnpA_AY849557.2
d3J_29298_2	d3J_29298_2	2473_tnpA_KM083808.1
d3J_29298_2	d1I_23438_2	2473_tnpA_KM083808.1
d3J_29298_2	d1L_21403_2	2473_tnpA_KM083808.1
d3J_29298_2	d21B_14765_2	2473_tnpA_KM083808.1
d3J_29298_2	d21C_4493_2	2473_tnpA_KM083808.1
d3J_29298_2	d21J_167997_2	2473_tnpA_KM083808.1
d3J_29298_2	d28B_67856_2	2473_tnpA_KM083808.1
d21K_41020_8	d21K_41020_8	2491_tnpA_KX356458.1
d21J_1175_1	d21J_1175_1	412_tnpA_FN806773.1
d21J_1175_1	d5B_5832_1	412_tnpA_FN806773.1
d21J_1175_1	d5G_29714_1	412_tnpA_FN806773.1
d21J_1175_1	d5L_23122_2	412_tnpA_FN806773.1
d21J_1175_1	HC11_34_1	412_tnpA_FN806773.1
d21J_110907_2	d21J_110907_2	1396_tnpA_LM676407.1
d21J_160541_2	d21J_160541_2	1000_tnpA_JQ364968.1
d28C_168892_3	d28C_168892_3	871_tnpA_AY779042.1
d1M_51326_2	d1M_51326_2	1274_IS91_CP001349.1
d5E_13132_1	d5E_13132_1	301_tnpA_AB362339.1
d21M_41766_1	d21M_41766_1	712_tnpA_EU850412.1
d5M_6515_2	d5M_6515_2	830_tnpA_KF537631.1
d5M_6515_2	d14B_57036_1	830_tnpA_KF537631.1
d5M_6515_2	d14D_3063_2	830_tnpA_KF537631.1
d5M_6515_2	d14I_3856_2	830_tnpA_KF537631.1
d5M_6515_2	d14L_7589_1	830_tnpA_KF537631.1
d5M_6515_2	d14N_59950_2	830_tnpA_KF537631.1
d5M_6515_2	d14N_22290_3	830_tnpA_KF537631.1
d5M_6515_2	d14O_46173_1	830_tnpA_KF537631.1
d5M_6515_2	d1M_19111_1	830_tnpA_KF537631.1
d5M_6515_2	d21A_49221_2	830_tnpA_KF537631.1
d5M_6515_2	d21E_131029_2	830_tnpA_KF537631.1
d5M_6515_2	d21F_71101_1	830_tnpA_KF537631.1
d5M_6515_2	d21J_185839_9	830_tnpA_KF537631.1
d5M_6515_2	d21K_99456_2	830_tnpA_KF537631.1
d5M_6515_2	d21M_8544_1	830_tnpA_KF537631.1
d5M_6515_2	d21O_86383_2	830_tnpA_KF537631.1
d5M_6515_2	d28D_17470_1	830_tnpA_KF537631.1
d5M_6515_2	d28D_23438_1	830_tnpA_KF537631.1
d5M_6515_2	d28E_33661_5	830_tnpA_KF537631.1
d5M_6515_2	d35A_44832_8	830_tnpA_KF537631.1
d5M_6515_2	d35B_13209_2	830_tnpA_KF537631.1
d5M_6515_2	d35D_2764_2	830_tnpA_KF537631.1
d5M_6515_2	d35J_98736_2	830_tnpA_KF537631.1
d5M_6515_2	d35K_44210_3	830_tnpA_KF537631.1
d5M_6515_2	d35M_1989_2	830_tnpA_KF537631.1
d5M_6515_2	d35N_48481_4	830_tnpA_KF537631.1
d5M_6515_2	d3I_1704_2	830_tnpA_KF537631.1
d5M_6515_2	d3J_22569_1	830_tnpA_KF537631.1
d5M_6515_2	d3L_45356_4	830_tnpA_KF537631.1
d5M_6515_2	d3O_10456_1	830_tnpA_KF537631.1
d5M_6515_2	d42A_26328_4	830_tnpA_KF537631.1
d5M_6515_2	d42B_203344_6	830_tnpA_KF537631.1
d5M_6515_2	d42C_30651_4	830_tnpA_KF537631.1
d5M_6515_2	d42D_203570_4	830_tnpA_KF537631.1
d5M_6515_2	d42E_176566_2	830_tnpA_KF537631.1
d5M_6515_2	d42H_1553_4	830_tnpA_KF537631.1
d5M_6515_2	d42J_7224_4	830_tnpA_KF537631.1
d5M_6515_2	d42N_66547_2	830_tnpA_KF537631.1
d5M_6515_2	d42O_90609_2	830_tnpA_KF537631.1
d5M_6515_2	d7E_59392_2	830_tnpA_KF537631.1
d5M_6515_2	d7H_31752_1	830_tnpA_KF537631.1
d5M_6515_2	d7J_7802_2	830_tnpA_KF537631.1
d5M_6515_2	HC160_17_87	830_tnpA_KF537631.1
d5M_6515_2	HC966_105_1	830_tnpA_KF537631.1
d5M_6515_2	d21J_124744_1	830_tnpA_KF537631.1
d5M_6515_2	d1F_90329_1	830_tnpA_KF537631.1
d21K_41534_3	d21K_41534_3	1564_IS679_NC002142
d1J_61991_1	d1J_61991_1	1723_IS91_MNRD01000033.1
d1J_61991_1	d1F_62972_7	1723_IS91_MNRD01000033.1
d1J_61991_1	d1D_22264_2	1723_IS91_MNRD01000033.1
d21J_25582_3	d21J_25582_3	138_repUS16__repF(pE194)_M17811.1
d21J_25582_3	d14I_33886_1	138_repUS16__repF(pE194)_M17811.1
d21J_25582_3	d14O_11364_2	138_repUS16__repF(pE194)_M17811.1
d21J_25582_3	d35A_7681_2	138_repUS16__repF(pE194)_M17811.1
d21K_88698_1	d21K_88698_1	312_IS91_MSKG01000291.1
d21M_14186_2	d21M_14186_2	6_rep1_6_repE(pTEF1)_AE016833
HC47_119_2	HC47_119_2	554_tnpAcp1_FJ187822.1
d14B_128359_1	d14B_128359_1	34_rep7_11_repD(pTZ4)_NC010111.1
d14B_128359_1	d14D_25069_1	34_rep7_11_repD(pTZ4)_NC010111.1
d14B_128359_1	d14I_3949_1	34_rep7_11_repD(pTZ4)_NC010111.1
d14B_128359_1	d14K_21971_3	34_rep7_11_repD(pTZ4)_NC010111.1
d14B_128359_1	d14N_8618_1	34_rep7_11_repD(pTZ4)_NC010111.1
d14B_128359_1	d21A_28147_2	34_rep7_11_repD(pTZ4)_NC010111.1
d14B_128359_1	d21C_8398_5	34_rep7_11_repD(pTZ4)_NC010111.1
d14B_128359_1	d21E_94108_2	34_rep7_11_repD(pTZ4)_NC010111.1
d14B_128359_1	d21F_69760_2	34_rep7_11_repD(pTZ4)_NC010111.1
d14B_128359_1	d21J_148977_1	34_rep7_11_repD(pTZ4)_NC010111.1
d14B_128359_1	d21M_4870_1	34_rep7_11_repD(pTZ4)_NC010111.1
d14B_128359_1	d21M_11941_1	34_rep7_11_repD(pTZ4)_NC010111.1
d14B_128359_1	d21N_3961_1	34_rep7_11_repD(pTZ4)_NC010111.1
d14B_128359_1	d28C_83459_1	34_rep7_11_repD(pTZ4)_NC010111.1
d14B_128359_1	d28D_23751_4	34_rep7_11_repD(pTZ4)_NC010111.1
d14B_128359_1	d28L_11918_1	34_rep7_11_repD(pTZ4)_NC010111.1
d14B_128359_1	d35A_70775_1	34_rep7_11_repD(pTZ4)_NC010111.1
d14B_128359_1	d7E_14516_1	34_rep7_11_repD(pTZ4)_NC010111.1
d14L_1574_1	d14L_1574_1	2204_tnpA_AB646744.1
d14L_1574_1	d14M_32806_1	2204_tnpA_AB646744.1
d14L_1574_1	d1D_79383_17	2204_tnpA_AB646744.1
d14L_1574_1	d1F_27462_24	2204_tnpA_AB646744.1
d14L_1574_1	d1G_41510_10	2204_tnpA_AB646744.1
d14L_1574_1	d1G_94492_177	2204_tnpA_AB646744.1
d14L_1574_1	d1I_13369_47	2204_tnpA_AB646744.1
d14L_1574_1	d1J_2003_5	2204_tnpA_AB646744.1
d14L_1574_1	d1L_3465_80	2204_tnpA_AB646744.1
d14L_1574_1	d1L_36174_2	2204_tnpA_AB646744.1
